ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;GZWL4078/1 Куртка для девочек Изумрудный(14);Куртка для девочек. Рекомендованный температурный режим: не ниже -15°С. Новинка! Куртка умеренного объёма, с рельефами по переду и спинке, создающими интересный силуэт, сужающийся от линии бедер к низу. Впервые на деталях переда, спинки и рукавах используется стежка в виде крупных ромбов. Меховая опушка съемная. Трикотажный воротник из рибаны. Регулировка объема по низу изделия. Карманы в рельефных швах. Внутренняя манжета по низу рукава из рибаны.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (7-11)Сезон: ОсеньКоллекция: В ПОИСКАХ БЕМБИ;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196126273.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126291.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126314.jpg;"10;11;7;8;9"
;GZWL4080 Куртка для девочек Розовый(37);Куртка для девочек. Рекомендованный температурный режим: не ниже -15°С. Новинка! Демисезонная куртка на синтепоне, с рельефами по переду и спинке, силуэт - сужающийся от линии бедер к низу. Застежка на тесьму-молнию, наружная планка на кнопках. Воротник-стойка с хлопковым рибом с внутренней стороны, капюшон не отстегивается, меховая опушка отстегивается (на замке) Внутренние ветрозащитные манжеты рукавов - из риба. Ткань с водоотталкивающей пропиткой.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (7-11)Сезон: ОсеньКоллекция: НАДО ВЕРИТЬ В ЧУДО;1173.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196126333.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126361.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126372.jpg;"10;11;7;8;9"
;GZWL4135 Куртка для девочек Темно-серый(43);Куртка для девочек. Рекомендуемый температурный режим: не ниже -15°С. Куртка осенняя на синтепоне, силуэт «легкая трапеция». Контрастный перепад длин между спинкой и передом. Двухшовный неотстегивающийся капюшон с регулировкой объема. Курточная ткань с двусторонним водоотталкивающим покрытием. Воротник изнутри отделан рибаной. Широкая ветрозащитная планка. Боковые карманы с объемными клапанами. Внутренний шнур со стоппером регулирует объем куртки по низу. Внутренняя манжета по низу рукава из рибаны. Световозвращающие элементы.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (7-11)Сезон: ОсеньКоллекция: ЦВЕТ НАСТРОЕНИЯ JEANS;1271.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196126543.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126561.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126582.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126594.jpg;"7"
;GZWL4136 Куртка для девочек Серый(40);Куртка для девочек. Рекомендуемый температурный режим: не ниже -15°С. Куртка осенняя на синтепоне. Контрастный перепад длин между спинкой и передом. Двухшовный неотстегивающийся капюшон с регулировкой объема. Курточная ткань с двусторонним водоотталкивающим покрытием. Воротник изнутри отделан рибаной. Широкая ветрозащитная планка. Боковые карманы с объемными клапанами. Внутренний шнур со стоппером регулирует объем куртки по низу. Внутренняя манжета по низу рукава из рибаны. Световозвращающие элементы.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (7-11)Сезон: ОсеньКоллекция: LIKE ЗА УЛЫБКУ;1173.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196126613.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126631.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126642.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126664.jpg;"7;8"
;GZWL4138 Куртка для девочек Малиновый(25);Куртка для девочек. Рекомендуемый температурный режим: не ниже -15°С. Куртка осенняя на синтепоне. Округлые формы отстрочки подчеркивают силуэт. Двухшовный неотстегивающийся капюшон с регулировкой объема, с декоративным рибом по краю. Воротник изнутри отделан рибаной. Курточная ткань с двусторонним водоотталкивающим покрытием. Внутренний шнур со стоппером регулирует объем куртки по низу. Боковые карманы на молнии. Пуллеры из декоративной тесьмы с крупными кольцами. Фурнитура с эффектом золота, рибана и шпульная резина — с люрексом. Манжета из декоративного риба по низу рукава. Световозвращающие элементы.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (7-11)Сезон: ОсеньКоллекция: ЗАЧАРОВАННАЯ;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196126753.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126771.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126782.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126804.jpg;"10;11;7;8;9"
;GZXL3135 Куртка для девочек Розовый(37);Куртка для девочек. Рекомендуемый температурный режим: не ниже -15°С. Осенняя удлиненная куртка-парка на синтепоне. Двухшовный неотстегивающийся капюшон с регулировкой объема. Воротник изнутри отделан рибаной. Курточная ткань с двусторонним водоотталкивающим покрытием. Широкая ветрозащитная планка с принтом. По спинке имитация кокетки, с утяжкой на декоративный шнурок. В боковых швах расположены функциональные застежки-молнии с пуллерами из тесьмы. Боковые карманы с объемными клапанами. Внутренняя манжета по низу рукава из рибаны. Световозвращающие элементы.Состав: 100%полиэстер, подклад: 60%хлопок 40%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ЦВЕТ НАСТРОЕНИЯ JEANS;1271.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196127223.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196127241.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196127252.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196127274.jpg;"2;3"
;GZXL3137 Куртка для девочек Лед(22);Куртка для девочек. Рекомендуемый температурный режим: не ниже -15°С. Осенняя удлиненная куртка-парка на синтепоне. Силуэт «кокон». Двухшовный неотстегивающийся капюшон с регулировкой объема, с декоративным рибом по краю. Воротник изнутри отделан рибаной. Курточная ткань с двусторонним водоотталкивающим покрытием. Объем по низу регулируется резиной со стопперами. Широкая ветрозащитная планка с принтом. Кулиска для регулировки по талии шнуром со стоппером. Боковые карманы на с листочкой. Пуллеры из декоративной принтованной тесьмы с крупными кольцами. Фурнитура с эффектом серебра, рибана и шпульная резина —с люрексом. Манжета из декоративного риба по низу рукава. Световозвращающие элементы.Состав: 100%полиэстер, подклад:1 65%хлопок 35%полиэстер, подклад:2 100%полиэстер,утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ЛЕД И РОЗЫ;1271.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196127293.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196127311.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196127322.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196127344.jpg;"3;4;5;6"
;GZXL3197 Куртка для девочек Фиолетовый(46);НОВАЯ МОДЕЛЬ! Осенняя удлиненная куртка для девочек приталенного силуэта. Аккуратное прилегание в верхней части, в нижней — увеличенный объем за счет внутренней резинки и выточек по спинке. Утеплитель синтепон 200гр/м2. Курточная ткань с двусторонним водоотталкивающим покрытием. Подклад из хлопкового трикотажа по стану и в капюшоне, из тонкого полиэстера в рукавах. Двухшовный неотстегивающийся капюшон с регулировкой объема. Высокий объемный воротник. Молния с двумя слайдерами. Широкая ветрозащитная планка на липучках. Внутренние манжеты рукава из рибаны. Регулировка по низу внутренним шнуром со стоппером. Большие объемные карманы с двумя клапанами разной высоты. Световозвращающие элементы в боковых швах и на спинке. Рекомендуемый температурный режим: не ниже -15°С.Состав: 100%полиэстер, подклад:1 60%хлопок 40%полиэстер, подклад:2 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ЗДЕСЬ РАСТУТ ЭДЕЛЬВЕЙСЫ;1467.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196127393.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196127411.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196127432.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196127444.jpg;"2;3;4;5;6"
;GZXL4197 Куртка для девочек Фиолетовый(46);НОВАЯ МОДЕЛЬ! Осенняя удлиненная куртка для девочек приталенного силуэта. Аккуратное прилегание в верхней части, в нижней — увеличенный объем за счет внутренней резинки и выточек по спинке. Утеплитель синтепон 200гр/м2. Курточная ткань с двусторонним водоотталкивающим покрытием. Двухшовный неотстегивающийся капюшон с регулировкой объема. Высокий объемный воротник. Молния с двумя слайдерами. Широкая ветрозащитная планка на липучках. Внутренние манжеты рукава из рибаны. Регулировка по низу внутренним шнуром со стоппером. Большие объемные карманы с двумя клапанами разной высоты. Световозвращающие элементы в боковых швах и на спинке. Рекомендуемый температурный режим: не ниже -15°С.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (7-11)Сезон: ОсеньКоллекция: ЗДЕСЬ РАСТУТ ЭДЕЛЬВЕЙСЫ;1467.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196128293.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196128311.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196128332.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196128344.jpg;"10;7;8;9"
;GZXW3195 Куртка для девочек Розовый(37);Зимний пуховик для девочек прямого силуэта с перепадом длин между передом и спинкой. Утеплитель экопух. В рукавах дополнительный слой тонкого синтепона. Флисовый подклад по стану и в капюшоне. Подклад из тонкого полиэстера в рукавах. Курточная ткань с двусторонним водоотталкивающим покрытием. Двухшовный неотстегивающийся капюшон, переходящий в стойку воротника, с регулировкой объема. Внутренние манжеты рукавов и воротник из рибаны. Тракторная молния с крупным пуллером из принтованной репсовой ленты. Крупный шрифтовой принт на рукавах. Перевод принтов: Песня сердца. Карманы с листочкой, на кнопке. Декоративная рибана с люрексом по низу переда. Внутренний шнур со стоппером регулирует объем куртки по низу спинки. Световозвращающие элементы в боковых швах и на спинке. Рекомендуемый температурный режим: не ниже -25°С.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: экопух 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ЗимаКоллекция: ROSE SONG;1662.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196128413.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196128431.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196128442.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196128464.jpg;"3;4;5;6"
